Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number,Social media picture,Event picture,Fb Followers,Twitter Follower,Instagram Followers,,,,,,,,,,,,,,,,
Aria_X.jpg,The Buffet,"Indulge in an unbelievable selection of carefully prepared foods. Don?t miss the always-changing selection of fresh seafood and naan baked right in front of you in an authentic Tandoor Oven.
Whichever main courses you choose, save room for world-class desserts, including candies, pastries and cakes. And while you?re at it, why not treat yourself to the bottomless premium beer, wine, champagne and more?",Restaurants,11:30:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-buffet.html,702.590.8630,Y,Y,"2,634",,,,,,,,,,,,,,,,,,
Aria_Y.jpg,Carbone,"This celebrated concept from Mario Carbone, Rich Torrisi and Jeff Zalaznick pays homage to the Italian-American restaurants of the mid-20th century ? an era of glamour, showmanship and tableside service.
The New York-inspired cuisine is influenced by that same time in history, but takes its culinary cues from the great talents and techniques of today showcasing elevated classics such as Lobster Fra Diavolo, Chicken Scarpariello, Veal Parmesan and Octopus Pizzaiolo.
",Restaurants,5:00:00 PM,10:30:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/carbone.html,877 230 2742,Y,Y,"1,001",,,,,,,,,,,,,,,,,,
Aria_B.jpg,Sage,"Experience a favorite with foodies from around the world.
James Beard Award-winning Chef Shawn McClain curates a fresh, ever-changing menu of contemporary American cuisine with global influences. With artisanal meats, sustainable seafood and farm-to-table produce, it?s simply impossible to go wrong here. Sage dresses up the freshest seasonal ingredients and transforms them into tempting culinary creations that take your taste buds on an adventure of their own.",Restaurants,6:00:00 PM,10:30:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/sage.html,702 590 8690,Y,Y,"1,231",,,,,,,,,,,,,,,,,,
Aria_B.jpg,Sage,"Experience a favorite with foodies from around the world.
James Beard Award-winning Chef Shawn McClain curates a fresh, ever-changing menu of contemporary American cuisine with global influences. With artisanal meats, sustainable seafood and farm-to-table produce, it?s simply impossible to go wrong here. Sage dresses up the freshest seasonal ingredients and transforms them into tempting culinary creations that take your taste buds on an adventure of their own.",Restaurants,6:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,"Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/sage.html,702 590 8690,,,,,,,,,,,,,,,,,,,,,
Aria_Z.jpg,Jean Georges,"If you are craving Kobe A5, arguably the best beef in the world, we have it. But, the offerings extend far beyond a simple steak.
Three different types of beef from around the world, dozens of cuts and a selection of seafood and unique sides that would put any fish house to shame. Jean Georges Steakhouse has something for one, as long as one is looking for the best of the best.",Restaurants,5:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/jean-georges-steakhouse.html,877 230 2742,Y,Y,"1,745",,,,,,,,,,,,,,,,,,
Aria_AA.jpg,Blossom,"Whether you prefer traditional Chinese cuisine or a more Americanized twist, you?ll find something special among Blossom?s 100-dish lineup to delight your taste buds.
Live seafood is held in on-site tanks and table-side prep brings a touch of festivity to many gourmet selections. Whichever dish you choose, you?re in expert hands. Chef Chi Kwun Choi has earned the Epicurean Award for Best Chinese Restaurant in Las Vegas.",Restaurants,5:30:00 PM,10:30:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/blossom.html,877 230 2742,Y,Y,267,,,,,,,,,,,,,,,,,,
Aria_AB.jpg,Burger Lounge,"Discover a whole new approach to the classic American burger. Burger Lounge utilizes only ingredients produced in a sustainable environment and features a health-conscious menu from their grass-fed beef to vegetarian dishes. It?s all the taste of a classic burger joint, with none of the guilt.",Restaurants,10:00:00 AM,12:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/burger-lounge.html,702 590 7888,,,,,,,,,,,,,,,,,,,,,
Aria_AB.jpg,Burger Lounge,"Discover a whole new approach to the classic American burger. Burger Lounge utilizes only ingredients produced in a sustainable environment and features a health-conscious menu from their grass-fed beef to vegetarian dishes. It?s all the taste of a classic burger joint, with none of the guilt.",Restaurants,10:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/burger-lounge.html,702 590 7888,,,,,,,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Restaurants,12:00:00 PM,5:00:00 AM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,,,Y,Y,"2,253",,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Restaurants,11:00:00 AM,5:00:00 AM,01.01.2019,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,,,,,,,,,,,,,,,,,,,,,
Aria_E.jpg,Alibi,"ALIBI Ultra Lounge, at ARIA Resort & Casino celebrates the perfect convergence of premium spirits, imaginative ingredients & highly stylized opulence.
With a timeless soundtrack and plush setting designed for unwinding, carousing and mingling, ALIBI sets the scene for any rendezvous. Channeling classic elegance paired with modern luxury, the design is highlighted by decadent imported granite and polished nickel & brass accents. Warm tones and rich fabrics are brought together with rich leather wrapped wood furnishings in a contemporary, yet elegant design",Restaurants,9:30:00 AM,5:00:00 AM,01.01.2019,31.12.2019,Sun,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/alibi-ultra-lounge.html,702 693 8300,,,,,,,,,,,,,,,,,,,,,
Aria_J.jpg,Gem Bar,"The signature cocktail you can celebrate with when you hit the jackpot on our casino floor.
Whether you?re meeting friends, kicking the night off, or making an entire evening of it, visit Gem Bar at ARIA. Stop by for a craft beer or organic cocktail, and watch your favorite team in high def while enjoying bar top gaming. Located in the heart of the casino floor, Gem Bar is the perfect place to enjoy your favorite cocktail within an energetic setting.",Restaurants,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/gem-bar.html,702 590 7111,,,,,No page,,,,,,,,,,,,,,,,
Aria_B.jpg,Sage,"Experience a favorite with foodies from around the world.
James Beard Award-winning Chef Shawn McClain curates a fresh, ever-changing menu of contemporary American cuisine with global influences. With artisanal meats, sustainable seafood and farm-to-table produce, it?s simply impossible to go wrong here. Sage dresses up the freshest seasonal ingredients and transforms them into tempting culinary creations that take your taste buds on an adventure of their own.",Restaurants,6:00:00 PM,10:30:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/nightlife/gem-bar.html,702 590 8690,,,Y,Y,No page,,,,,,,,,,,,,,,,
Aria_K.jpg,Javier'S,"Hand-shaken margaritas? Check. Ceviche, enchiladas and steak? Check. A selection of the world?s finest tequilas? Check. You?ll find all the makings for a memorable Mexican meal at Javier?s with unique architectural elements like a spectacularly detailed chainsaw wood carving with an Aztec motif.",Restaurants,11:30:00 AM,12:00:00 AM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/javiers.html,866 590 3637,,,N,Y,No page,,,,,,,,,,,,,,,,
Aria_L.jpg,The Pub,"Located inside The Shops at Crystals, just off the ARIA main lobby, The Pub offers guests an opportunity to sit back, relax and enjoy delicious food and drinks. Inspired by the traditional British pub, the menu features classic and new pub dishes to satisfy  craving.
The Pub has an extensive selection of draft beers, from local brews to European classics, in addition to an array of wines and spirits including a special list of whiskies from around the world. Gather at The Pub to brunch together or catch a game, it?s the perfect spot for any occasion.",Restaurants,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-pub-at-the-shops-at-crystals.html,702 590 9470,,,,,,,,,,,,,,,,,,,,,
Aria_L.jpg,The Pub,"Located inside The Shops at Crystals, just off the ARIA main lobby, The Pub offers guests an opportunity to sit back, relax and enjoy delicious food and drinks. Inspired by the traditional British pub, the menu features classic and new pub dishes to satisfy  craving.
The Pub has an extensive selection of draft beers, from local brews to European classics, in addition to an array of wines and spirits including a special list of whiskies from around the world. Gather at The Pub to brunch together or catch a game, it?s the perfect spot for any occasion.",Restaurants,9:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-pub-at-the-shops-at-crystals.html,702 590 9470,,,Y,Y,"44,268",,,,,,,,,,,,,,,,
Aria_M.jpg,Bobby'S Burger Palace,"Bobby's Burger Palace focuses on the high-quality, never-frozen, made-to-order deliciousness Bobby Flay discovered along his legendary career. Enjoy over a dozen signature burgers, hand-cut fries with outstanding sauces and toppings, bold salads, spoon-bending milkshakes and refreshing drinks; all created from original Bobby Flay recipes.",Restaurants,11:00:00 AM,12:00:00 AM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/bobbys-burger-palace.html,702 598 0191,,,,,,,,,,,,,,,,,,,,,
Aria_N.jpg,Aria Caf‚,"Now is always the perfect time to enjoy your favorite classic American dishes.
Garden areas, natural elements and terraced seating give the caf‚ a light and airy feel. Stunning views through the floor-to-ceiling windows make it clear you aren?t in just any caf‚.",Restaurants,6:00:00 AM,10:00:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/aria-cafe.html,702 590 8650,Y,"1,051",,,,,,,,,,,,,,,,,,,
Aria_L.jpg,The Pub,"Located inside The Shops at Crystals, just off the ARIA main lobby, The Pub offers guests an opportunity to sit back, relax and enjoy delicious food and drinks. Inspired by the traditional British pub, the menu features classic and new pub dishes to satisfy  craving.
The Pub has an extensive selection of draft beers, from local brews to European classics, in addition to an array of wines and spirits including a special list of whiskies from around the world. Gather at The Pub to brunch together or catch a game, it?s the perfect spot for any occasion.",Restaurants,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-pub-at-the-shops-at-crystals.html,702 590 9470,,,,,,,,,,,,,,,,,,,,,
Aria_L.jpg,The Pub,"Located inside The Shops at Crystals, just off the ARIA main lobby, The Pub offers guests an opportunity to sit back, relax and enjoy delicious food and drinks. Inspired by the traditional British pub, the menu features classic and new pub dishes to satisfy  craving.
The Pub has an extensive selection of draft beers, from local brews to European classics, in addition to an array of wines and spirits including a special list of whiskies from around the world. Gather at The Pub to brunch together or catch a game, it?s the perfect spot for any occasion.",Restaurants,9:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-pub-at-the-shops-at-crystals.html,702 590 9470,,,,,,,,,,,,,,,,,,,,,
Aria_O.jpg,Five50 Pizza Bar,"Savor a slice of pizza that?s anything but typical. At Five50, James Beard Award-winning Chef Shawn McClain puts his spin on classic East Coast-style pizza.
Freshly foraged ingredients are baked to perfection at 550 degrees in a wood-fired oven. Whet your appetite with his inventive lineup of shared plates, and enjoy a craft beer while you wait.",Restaurants,11:30:00 AM,12:30:00 AM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/five50.html,877 230 2742,Y,"1,075",,,,,,,,,,,,,,,,,,,
Aria_O.jpg,Five50 Pizza Bar,"Savor a slice of pizza that?s anything but typical. At Five50, James Beard Award-winning Chef Shawn McClain puts his spin on classic East Coast-style pizza.
Freshly foraged ingredients are baked to perfection at 550 degrees in a wood-fired oven. Whet your appetite with his inventive lineup of shared plates, and enjoy a craft beer while you wait.",Restaurants,11:00:00 AM,12:30:00 AM,01.01.2019,31.12.2019,Sat,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/five50.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_O.jpg,Five50 Pizza Bar,"Savor a slice of pizza that?s anything but typical. At Five50, James Beard Award-winning Chef Shawn McClain puts his spin on classic East Coast-style pizza.
Freshly foraged ingredients are baked to perfection at 550 degrees in a wood-fired oven. Whet your appetite with his inventive lineup of shared plates, and enjoy a craft beer while you wait.",Restaurants,10:00:00 AM,12:30:00 AM,01.01.2019,31.12.2019,Sun,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/five50.html,877 230 2742,,,,,,,,,,,,,,,,,,,,,
Aria_P.jpg,Starbucks,Need we say more? The familiar taste you crave is available without leaving ARIA,Restaurants,5:00:00 AM,10:00:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/starbucks.html,702 369 8715,Y,"37,245,141",,,,,,,,,,,,,,,,,,,
Aria_Q.jpg,Pinkberry,"Pinkberry is the Original tart frozen yogurt brand from Los Angeles CA. Starting in 2005, the brand reignited the phenomenon for frozen yogurt and has grown to 21 countries in just 10 years.",Restaurants,12:00:00 PM,1:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/pinkberry.html,702 895 7003,Y,No page,,,,,,,,,,,,,,,,,,,
Aria_Q.jpg,Pinkberry,"Pinkberry is the Original tart frozen yogurt brand from Los Angeles CA. Starting in 2005, the brand reignited the phenomenon for frozen yogurt and has grown to 21 countries in just 10 years.",Restaurants,11:00:00 AM,2:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/pinkberry.html,702 895 7003,,,,,,,,,,,,,,,,,,,,,
Aria_R.jpg,Pressed Juicery,"The pounds of fruit and vegetables you will find in one bottle of these specialty juices.
Pressed Juicery was established in 2010 by founding partners Hayden Slater, Carly De Castro and Hedi Gores, and created with the goal of making high nutrition a realistic option for all people. Juices never contain additives and are cold-pressed using a custom hydraulic press to gently extract the maximum vitamins and minerals from fruits and vegetables. At Pressed Juicery, wellness is a right, not a luxury.",Restaurants,7:00:00 AM,9:00:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/pressed-juicery.html,702 464 5016,Y,"114,786",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
